OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityStartDate,ProjectIdentifier,ProjectName,MonitoringLocationIdentifier,MonitoringLocationName,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultCommentText,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0512160038-1-20051215-0,Sample,12/15/2005,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065213143.0000000000,,Aluminum,Dissolved,0.026,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0512160038-1-20051215-0,Sample,12/15/2005,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065213154.0000000000,,Manganese,Total,3.12,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0512160038-1-20051215-0,Sample,12/15/2005,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065213155.0000000000,,Manganese,Dissolved,2.97,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0512160038-1-20051215-0,Sample,12/15/2005,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065213145.0000000000,*Non-detect,Cadmium,Total,,,,200.8(W),USEPA,,,,,,0.001,mg/l,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0512160038-1-20051215-0,Sample,12/15/2005,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065213158.0000000000,,Sodium,Total,7.62,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0512160038-1-20051215-0,Sample,12/15/2005,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065213147.0000000000,,Copper,Total,0.006,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0512160038-1-20051215-0,Sample,12/15/2005,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065213142.0000000000,,Aluminum,Total,0.918,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0512160038-1-20051215-0,Sample,12/15/2005,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065213148.0000000000,*Non-detect,Fluoride,Total,,,,4500-F-C,APHA,,,,,,0.1,mg/l,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0512160038-1-20051215-0,Sample,12/15/2005,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065213160.0000000000,,Sulfate as SO4,,277.6,mg/l,,300(A),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0512160038-1-20051215-0,Sample,12/15/2005,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065213144.0000000000,*Non-detect,Bromide,,,,,300(A),USEPA,,,,,,0.05,mg/l,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00600450-7-20060314-0,Sample,3/14/2006,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065210210.0000000000,,Manganese,Dissolved,4500,ug/l,,I1472,USDOI/USGS,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00600450-7-20060314-0,Sample,3/14/2006,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065210183.0000000000,,Nickel,Dissolved,73,mg/l,,I1472,USDOI/USGS,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00600450-7-20060314-0,Sample,3/14/2006,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065210206.0000000000,,Iron,Dissolved,14000,ug/l,,I1472,USDOI/USGS,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00600450-7-20060314-0,Sample,3/14/2006,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065210207.0000000000,,Iron,Total,14000,ug/l,,I1472,USDOI/USGS,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00600450-7-20060314-0,Sample,3/14/2006,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065210189.0000000000,,Sodium,Total,4.7,mg/l,,I1472,USDOI/USGS,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00600450-7-20060314-0,Sample,3/14/2006,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065210182.0000000000,,Manganese,Total,4600,ug/l,,I1472,USDOI/USGS,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00600450-7-20060314-0,Sample,3/14/2006,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065210203.0000000000,,Chloride,Dissolved,4.2,mg/l,,I2057,USDOI/USGS,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00600450-7-20060314-0,Sample,3/14/2006,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065210208.0000000000,,Magnesium,Dissolved,56,mg/l,,I1472,USDOI/USGS,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00600450-7-20060314-0,Sample,3/14/2006,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065210209.0000000000,,Magnesium,Total,57,mg/l,,I1472,USDOI/USGS,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00600450-7-20060314-0,Sample,3/14/2006,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065210186.0000000000,,Potassium,Dissolved,1.4,mg/l,,I1472,USDOI/USGS,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00600450-7-20060314-0,Sample,3/14/2006,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065210187.0000000000,,Potassium,Total,1.4,mg/l,,,,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00600450-7-20060314-0,Sample,3/14/2006,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065210184.0000000000,,Nickel,Total,74,mg/l,,I1472,USDOI/USGS,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00600450-7-20060314-0,Sample,3/14/2006,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065210199.0000000000,,Aluminum,Dissolved,300,ug/l,,I1054,USDOI/USGS,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00600450-7-20060314-0,Sample,3/14/2006,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065210200.0000000000,,Aluminum,Total,400,ug/l,,I1054,USDOI/USGS,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00600450-7-20060314-0,Sample,3/14/2006,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065210192.0000000000,,Zinc,Total,100,mg/l,,,,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00600450-7-20060314-0,Sample,3/14/2006,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065210193.0000000000,,Zinc,Dissolved,100,mg/l,,,,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00600450-7-20060314-0,Sample,3/14/2006,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065210188.0000000000,,Sodium,Dissolved,4.6,mg/l,,I1472,USDOI/USGS,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00600450-7-20060314-0,Sample,3/14/2006,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065210202.0000000000,,Calcium,Total,56,mg/l,,I1472,USDOI/USGS,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00600450-7-20060314-0,Sample,3/14/2006,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065210201.0000000000,,Calcium,Dissolved,54,mg/l,,I1472,USDOI/USGS,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00600450-7-20060314-0,Sample,3/14/2006,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065210190.0000000000,,Sulfate as SO4,Dissolved,340,mg/l,,I2057,USDOI/USGS,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0603170044-1-20060316-0,Sample,3/16/2006,PINFOR,,SAN-PINFIN,,,,PWD,PWD,PWD,,Unknown,STORET-100065212396.0000000000,*Non-detect,Aluminum,Dissolved,,,,200.8(W),USEPA,,,,,,0.01,mg/l,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0603170044-1-20060316-0,Sample,3/16/2006,PINFOR,,SAN-PINFIN,,,,PWD,PWD,PWD,,Unknown,STORET-100065212401.0000000000,,Copper,Total,0.005,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0603170044-1-20060316-0,Sample,3/16/2006,PINFOR,,SAN-PINFIN,,,,PWD,PWD,PWD,,Unknown,STORET-100065212376.0000000000,,Manganese,Dissolved,2.03,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0603170044-1-20060316-0,Sample,3/16/2006,PINFOR,,SAN-PINFIN,,,,PWD,PWD,PWD,,Unknown,STORET-100065212400.0000000000,,Chloride,Total,16.8,mg/l,,300(A),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0603170044-1-20060316-0,Sample,3/16/2006,PINFOR,,SAN-PINFIN,,,,PWD,PWD,PWD,,Unknown,STORET-100065212402.0000000000,,Fluoride,Total,0.0868,mg/l,,4500-F-C,APHA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0603170044-1-20060316-0,Sample,3/16/2006,PINFOR,,SAN-PINFIN,,,,PWD,PWD,PWD,,Unknown,STORET-100065212398.0000000000,*Non-detect,Cadmium,Total,,,,200.8(W),USEPA,,,,,,0.001,mg/l,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0603170044-1-20060316-0,Sample,3/16/2006,PINFOR,,SAN-PINFIN,,,,PWD,PWD,PWD,,Unknown,STORET-100065212399.0000000000,*Non-detect,Cadmium,Dissolved,,,,200.8(W),USEPA,,,,,,0.001,mg/l,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0603170044-1-20060316-0,Sample,3/16/2006,PINFOR,,SAN-PINFIN,,,,PWD,PWD,PWD,,Unknown,STORET-100065212388.0000000000,,Iron,Total,5.44,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0603170044-1-20060316-0,Sample,3/16/2006,PINFOR,,SAN-PINFIN,,,,PWD,PWD,PWD,,Unknown,STORET-100065212389.0000000000,,Iron,Dissolved,3.91,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0603170044-1-20060316-0,Sample,3/16/2006,PINFOR,,SAN-PINFIN,,,,PWD,PWD,PWD,,Unknown,STORET-100065212391.0000000000,,Magnesium,Total,34.6,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0603170044-1-20060316-0,Sample,3/16/2006,PINFOR,,SAN-PINFIN,,,,PWD,PWD,PWD,,Unknown,STORET-100065212392.0000000000,,Manganese,Total,2.15,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0603170044-1-20060316-0,Sample,3/16/2006,PINFOR,,SAN-PINFIN,,,,PWD,PWD,PWD,,Unknown,STORET-100065212390.0000000000,*Non-detect,Lead,Total,,,,200.8(W),USEPA,,,,,,0.001,mg/l,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0603170044-1-20060316-0,Sample,3/16/2006,PINFOR,,SAN-PINFIN,,,,PWD,PWD,PWD,,Unknown,STORET-100065212382.0000000000,,Zinc,Total,0.063,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0603170044-1-20060316-0,Sample,3/16/2006,PINFOR,,SAN-PINFIN,,,,PWD,PWD,PWD,,Unknown,STORET-100065212395.0000000000,,Aluminum,Total,0.435,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0603170044-1-20060316-0,Sample,3/16/2006,PINFOR,,SAN-PINFIN,,,,PWD,PWD,PWD,,Unknown,STORET-100065212378.0000000000,,Sodium,Total,15.9,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0603170044-1-20060316-0,Sample,3/16/2006,PINFOR,,SAN-PINFIN,,,,PWD,PWD,PWD,,Unknown,STORET-100065212380.0000000000,,Sulfate as SO4,,223.3,mg/l,,300(A),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0603170044-1-20060316-0,Sample,3/16/2006,PINFOR,,SAN-PINFIN,,,,PWD,PWD,PWD,,Unknown,STORET-100065212397.0000000000,*Non-detect,Bromide,,,,,300(A),USEPA,,,,,,0.05,mg/l,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0603170043-1-20060316-0,Sample,3/16/2006,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065213193.0000000000,,Manganese,Total,2.54,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0603170043-1-20060316-0,Sample,3/16/2006,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065213192.0000000000,,Magnesium,Total,40.4,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0603170043-1-20060316-0,Sample,3/16/2006,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065213187.0000000000,,Copper,Total,0.004,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0603170043-1-20060316-0,Sample,3/16/2006,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065213176.0000000000,,Zinc,Total,0.099,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0603170043-1-20060316-0,Sample,3/16/2006,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065213198.0000000000,,Aluminum,Total,0.628,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0603170043-1-20060316-0,Sample,3/16/2006,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065213194.0000000000,,Manganese,Dissolved,2.35,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0603170043-1-20060316-0,Sample,3/16/2006,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065213186.0000000000,,Chloride,Total,12.4,mg/l,,300(A),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0603170043-1-20060316-0,Sample,3/16/2006,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065213191.0000000000,,Lead,Total,0.005,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0603170043-1-20060316-0,Sample,3/16/2006,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065213184.0000000000,*Non-detect,Cadmium,Total,,,,200.8(W),USEPA,,,,,,0.001,mg/l,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0603170043-1-20060316-0,Sample,3/16/2006,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065213185.0000000000,*Non-detect,Cadmium,Dissolved,,,,200.8(W),USEPA,,,,,,0.001,mg/l,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0603170043-1-20060316-0,Sample,3/16/2006,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065213189.0000000000,,Iron,Total,6.84,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0603170043-1-20060316-0,Sample,3/16/2006,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065213190.0000000000,,Iron,Dissolved,5.34,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0603170043-1-20060316-0,Sample,3/16/2006,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065213199.0000000000,,Aluminum,Dissolved,0.022,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0603170043-1-20060316-0,Sample,3/16/2006,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065213182.0000000000,,Sodium,Total,7.48,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0603170043-1-20060316-0,Sample,3/16/2006,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065213188.0000000000,,Fluoride,Total,0.0701,mg/l,,4500-F-C,APHA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0603170043-1-20060316-0,Sample,3/16/2006,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065213174.0000000000,,Sulfate as SO4,,241.7,mg/l,,300(A),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0603170043-1-20060316-0,Sample,3/16/2006,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065213183.0000000000,*Non-detect,Bromide,,,,,300(A),USEPA,,,,,,0.05,mg/l,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-AA83088-2-20060320-0,Sample,3/20/2006,REEVE2,,SAN-REEV2IN,,,,AQUA,AQUA,AQUA,,Unknown,STORET-100065213515.0000000000,*Non-detect,Potassium,,,,,3111-B,APHA,,,,,,2.5,mg/l,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-AA83088-2-20060320-0,Sample,3/20/2006,REEVE2,,SAN-REEV2IN,,,,AQUA,AQUA,AQUA,,Unknown,STORET-100065213500.0000000000,*Non-detect,Copper,Total,,,,200.8(W),USEPA,,,,,,0.05,mg/l,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-AA83088-2-20060320-0,Sample,3/20/2006,REEVE2,,SAN-REEV2IN,,,,AQUA,AQUA,AQUA,,Unknown,STORET-100065213508.0000000000,*Non-detect,Magnesium,Total,,,,3111-B,APHA,,,,,,10,mg/l,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-AA83088-2-20060320-0,Sample,3/20/2006,REEVE2,,SAN-REEV2IN,,,,AQUA,AQUA,AQUA,,Unknown,STORET-100065213503.0000000000,,Iron,Total,1.5,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-AA83088-2-20060320-0,Sample,3/20/2006,REEVE2,,SAN-REEV2IN,,,,AQUA,AQUA,AQUA,,Unknown,STORET-100065213504.0000000000,,Iron,Dissolved,0.76,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-AA83088-2-20060320-0,Sample,3/20/2006,REEVE2,,SAN-REEV2IN,,,,AQUA,AQUA,AQUA,,Unknown,STORET-100065213510.0000000000,,Manganese,Dissolved,0.97,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-AA83088-2-20060320-0,Sample,3/20/2006,REEVE2,,SAN-REEV2IN,,,,AQUA,AQUA,AQUA,,Unknown,STORET-100065213509.0000000000,,Manganese,Total,0.97,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-AA83088-2-20060320-0,Sample,3/20/2006,REEVE2,,SAN-REEV2IN,,,,AQUA,AQUA,AQUA,,Unknown,STORET-100065213505.0000000000,*Non-detect,Lead,Total,,,,200.8(W),USEPA,,,,,,2,ug/l,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-AA83088-2-20060320-0,Sample,3/20/2006,REEVE2,,SAN-REEV2IN,,,,AQUA,AQUA,AQUA,,Unknown,STORET-100065213506.0000000000,*Non-detect,Lead,Dissolved,,,,200.8(W),USEPA,,,,,,2,ug/l,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-AA83088-2-20060320-0,Sample,3/20/2006,REEVE2,,SAN-REEV2IN,,,,AQUA,AQUA,AQUA,,Unknown,STORET-100065213495.0000000000,,Aluminum,Dissolved,0.42,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-AA83088-2-20060320-0,Sample,3/20/2006,REEVE2,,SAN-REEV2IN,,,,AQUA,AQUA,AQUA,,Unknown,STORET-100065213520.0000000000,,Zinc,Total,0.11,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-AA83088-2-20060320-0,Sample,3/20/2006,REEVE2,,SAN-REEV2IN,,,,AQUA,AQUA,AQUA,,Unknown,STORET-100065213521.0000000000,,Zinc,Dissolved,0.12,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-AA83088-2-20060320-0,Sample,3/20/2006,REEVE2,,SAN-REEV2IN,,,,AQUA,AQUA,AQUA,,Unknown,STORET-100065213499.0000000000,*Non-detect,Copper,Dissolved,,,,200.8(W),USEPA,,,,,,0.05,mg/l,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-AA83088-2-20060320-0,Sample,3/20/2006,REEVE2,,SAN-REEV2IN,,,,AQUA,AQUA,AQUA,,Unknown,STORET-100065213494.0000000000,,Aluminum,Total,0.65,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-AA83088-2-20060320-0,Sample,3/20/2006,REEVE2,,SAN-REEV2IN,,,,AQUA,AQUA,AQUA,,Unknown,STORET-100065213497.0000000000,*Non-detect,Chloride,Total,,,,300(A),USEPA,,,,,,10,mg/l,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-AA83088-2-20060320-0,Sample,3/20/2006,REEVE2,,SAN-REEV2IN,,,,AQUA,AQUA,AQUA,,Unknown,STORET-100065213516.0000000000,*Non-detect,Sodium,Total,,,,3111-B,APHA,,,,,,5,mg/l,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-AA83088-2-20060320-0,Sample,3/20/2006,REEVE2,,SAN-REEV2IN,,,,AQUA,AQUA,AQUA,,Unknown,STORET-100065213501.0000000000,*Non-detect,Fluoride,Total,,,,300(A),USEPA,,,,,,0.5,mg/l,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-AA83088-2-20060320-0,Sample,3/20/2006,REEVE2,,SAN-REEV2IN,,,,AQUA,AQUA,AQUA,,Unknown,STORET-100065213496.0000000000,,Calcium,,15,mg/l,,3500-CA(D),APHA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-AA83088-2-20060320-0,Sample,3/20/2006,REEVE2,,SAN-REEV2IN,,,,AQUA,AQUA,AQUA,,Unknown,STORET-100065213518.0000000000,,Sulfate as SO4,,59,mg/l,,300(A),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-AA83088-2-20060320-0,Sample,3/20/2006,REEVE2,,SAN-REEV2IN,,,,AQUA,AQUA,AQUA,,Unknown,STORET-100065213507.0000000000,*Non-detect,Lithium,Total,,,,3111-B,APHA,,,,,,0.5,mg/l,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00600810-7-20060613-0,Sample,6/13/2006,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065209651.0000000000,,Iron,Dissolved,16000,ug/l,,I1472,USDOI/USGS,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00600810-7-20060613-0,Sample,6/13/2006,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065209660.0000000000,,Potassium,Dissolved,0.9,mg/l,,I1472,USDOI/USGS,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00600810-7-20060613-0,Sample,6/13/2006,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065209655.0000000000,,Manganese,Dissolved,5100,ug/l,,I1472,USDOI/USGS,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00600810-7-20060613-0,Sample,6/13/2006,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065209652.0000000000,,Iron,Total,15000,ug/l,,I1472,USDOI/USGS,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00600810-7-20060613-0,Sample,6/13/2006,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065209653.0000000000,,Magnesium,Dissolved,54,mg/l,,I1472,USDOI/USGS,,,,,,,,,,STORET
